NUM,EMA_5,EMA_20,EMA_60,ROC_5,ROC_20,ROC_60,FORCE_5,FORCE_20,FORCE_60,MFM,ACDL,TARGET
132,68.467,68.133,68.150,-2.791,2.972,-2.001,-1446426.223,117832.536,-210522.307,-0.455,-12653380.207,66.270
133,67.735,67.955,68.089,-3.635,-0.481,-5.356,-3316400.149,-565422.753,-434975.609,-0.400,-14824564.207,65.850
134,67.106,67.755,68.015,-4.148,-0.724,-6.622,-2927631.232,-716343.767,-491208.979,-0.669,-18249179.311,66.460
135,66.891,67.631,67.964,-4.347,-1.292,-6.077,-1185231.205,-429113.994,-399708.067,0.512,-16319761.791,67.400
136,67.061,67.609,67.946,-0.252,-1.028,-4.057,266249.823,-86416.292,-282694.298,0.650,-14126648.840,66.760
137,66.960,67.528,67.907,0.739,-3.078,-5.305,-491980.651,-269466.321,-339276.177,-0.831,-16735505.587,66.570
138,66.830,67.437,67.863,1.093,-4.105,-5.961,-590553.421,-318821.810,-353978.563,0.990,-12632683.079,65.960
139,66.540,67.296,67.801,-0.752,-5.284,-8.719,-1007904.570,-463944.197,-402786.048,-0.795,-15034945.811,65.720
140,66.267,67.146,67.733,-2.493,-7.489,-10.182,-958642.380,-501675.035,-417780.539,0.306,-13939065.439,66.900
141,66.478,67.123,67.705,0.210,-3.240,-9.656,1174091.113,64156.692,-225736.649,0.426,-11974234.784,70.260
142,67.739,67.422,67.789,5.543,1.767,-4.538,12166190.129,3310464.451,901349.410,0.669,-5175927.459,72.540
143,69.339,67.909,67.945,9.976,5.451,4.887,15763263.059,5181602.019,1624498.903,0.803,2910285.399,72.650
144,70.443,68.361,68.099,10.545,7.534,6.885,10710670.113,4745781.276,1591088.585,0.040,3130461.479,73.770
145,71.552,68.876,68.285,10.269,9.305,11.401,9425802.635,4946760.934,1763710.850,0.578,6667321.791,74.790
146,72.631,69.439,68.498,6.447,10.603,11.344,8946995.603,5236534.325,1967831.201,0.455,10234009.978,74.750
147,73.337,69.945,68.703,3.047,7.538,7.942,5909750.082,4722127.155,1897910.802,0.130,10771208.761,75.170
148,73.948,70.442,68.915,3.469,9.306,10.301,4713798.188,4493533.559,1911811.904,0.766,15006354.492,74.310
149,74.069,70.811,69.092,0.732,8.166,9.861,1621213.912,3630915.635,1699491.689,-0.360,13095861.852,74.140
150,74.093,71.128,69.258,-0.869,6.707,10.114,790276.611,3202104.814,1615193.667,-0.323,11439431.282,74.390
151,74.192,71.439,69.426,-0.482,10.093,12.406,855653.324,2991085.951,1594577.703,-0.483,9532378.232,74.450
152,74.278,71.725,69.591,-0.958,12.343,11.369,683078.230,2738404.245,1553376.074,-0.522,6593873.537,74.060
153,74.205,71.948,69.737,-0.336,12.468,9.670,-152880.354,2303813.601,1442616.284,-0.143,5925449.537,73.210
154,73.873,72.068,69.851,-1.254,10.156,8.427,-1092809.436,1801291.582,1297852.878,-0.089,5612686.805,73.850
155,73.866,72.238,69.982,-0.726,9.570,11.911,-7095.784,1835866.814,1326262.014,0.367,6854968.928,75.210
156,74.314,72.521,70.154,1.021,12.657,12.304,2448636.944,2361984.489,1524092.846,0.036,7051763.109,75.740
157,74.789,72.827,70.337,2.268,13.775,11.546,2176742.403,2292552.949,1527662.042,0.946,9967751.181,75.410
158,74.996,73.073,70.503,3.005,14.327,11.851,1162749.302,1991811.058,1449206.339,0.106,10245367.298,76.420
159,75.471,73.392,70.697,3.480,16.281,12.316,2180766.368,2203714.815,1539947.131,0.610,12794089.682,74.910
160,75.284,73.537,70.835,-0.399,11.973,11.839,-287990.585,1496170.119,1318129.045,-0.829,9924324.658,73.900
161,74.823,73.571,70.936,-2.429,5.181,10.861,-1402297.933,1007876.524,1155865.384,-0.754,7212335.026,74.520
